13819 | 01-2026 | 2550000 | 0 | 2550000
13997 | 01-2026 | 460000 | 0 | 460000
12 | 01-2026 | 460000 | 23000 | 437000
8 | 01-2026 | 400000 | 0 | 400000
17 | 01-2026 | 250000 | 0 | 250000
18 | 01-2026 | 100000 | 0 | 100000
14001 | 01-2026 | 620000 | 0 | 620000
14002 | 01-2026 | 1350000 | 0 | 1350000
14003 | 01-2026 | 400000 | 0 | 400000
14004 | 01-2026 | 460000 | 0 | 460000
14005 | 01-2026 | 530000 | 0 | 530000
14006 | 01-2026 | 40000 | 0 | 40000
14007 | 01-2026 | 80000 | 0 | 80000
14008 | 01-2026 | 250000 | 0 | 250000
14009 | 01-2026 | 85000 | 0 | 85000
14010 | 01-2026 | 40000 | 0 | 40000
14011 | 01-2026 | 650000 | 0 | 650000
14012 | 01-2026 | 260000 | 0 | 260000
14013 | 01-2026 | 80000 | 0 | 80000
14014 | 01-2026 | 180000 | 0 | 180000
14015 | 01-2026 | 480000 | 0 | 480000
14016 | 01-2026 | 530000 | 0 | 530000
14017 | 01-2026 | 430000 | 0 | 430000
14019 | 01-2026 | 1030000 | 0 | 1030000
14020 | 01-2026 | 300000 | 0 | 300000
14021 | 01-2026 | 1690000 | 84500 | 1605500
14022 | 01-2026 | 400000 | 0 | 400000
14024 | 01-2026 | 460000 | 0 | 460000
14025 | 01-2026 | 25000 | 0 | 25000
14026 | 01-2026 | 250000 | 0 | 250000
14027 | 01-2026 | 85000 | 0 | 85000
14028 | 01-2026 | 530000 | 0 | 530000
14029 | 01-2026 | 460000 | 0 | 460000
14030 | 01-2026 | 120000 | 0 | 120000
14032 | 01-2026 | 85000 | 0 | 85000
14035 | 01-2026 | 280000 | 0 | 280000
14036 | 01-2026 | 545000 | 0 | 545000
14037 | 01-2026 | 40000 | 0 | 40000
14038 | 01-2026 | 120000 | 0 | 120000
14039 | 01-2026 | 350000 | 0 | 350000
14040 | 01-2026 | 100000 | 0 | 100000
14041 | 01-2026 | 20000 | 0 | 20000
14042 | 01-2026 | 40000 | 0 | 40000
14045 | 01-2026 | 115000 | 0 | 115000
14046 | 01-2026 | 420000 | 0 | 420000
14047 | 01-2026 | 150000 | 0 | 150000
14048 | 01-2026 | 170000 | 0 | 170000
14049 | 01-2026 | 280000 | 0 | 280000
14050 | 01-2026 | 750000 | 0 | 750000
14051 | 01-2026 | 1190000 | 0 | 1190000
14052 | 01-2026 | 180000 | 0 | 180000
14053 | 01-2026 | 530000 | 0 | 530000
14054 | 01-2026 | 368000 | 0 | 368000
14055 | 01-2026 | 404000 | 0 | 404000
14056 | 01-2026 | 280000 | 0 | 280000
14059 | 01-2026 | 130000 | 0 | 130000
14160 | 01-2026 | 1030000 | 0 | 1030000
14061 | 01-2026 | 160000 | 0 | 160000
14062 | 01-2026 | 80000 | 0 | 80000
14063 | 01-2026 | 930000 | 0 | 930000
14064 | 01-2026 | 580000 | 0 | 580000
14065 | 01-2026 | 40000 | 0 | 40000
14067 | 01-2026 | 310000 | 0 | 310000
14069 | 01-2026 | 115000 | 0 | 115000
14070 | 01-2026 | 460000 | 0 | 460000
14071 | 01-2026 | 680000 | 0 | 680000
14072 | 01-2026 | 400000 | 0 | 400000
14074 | 01-2026 | 1050000 | 0 | 1050000
14075 | 01-2026 | 200000 | 0 | 200000
14076 | 01-2026 | 25000 | 0 | 25000
14077 | 01-2026 | 680000 | 0 | 680000
14078 | 01-2026 | 40000 | 0 | 40000
14079 | 01-2026 | 520000 | 0 | 520000
14080 | 01-2026 | 180000 | 0 | 180000
14081 | 01-2026 | 500000 | 0 | 500000
14082 | 01-2026 | 460000 | 0 | 460000
14083 | 01-2026 | 40000 | 0 | 40000
14084 | 01-2026 | 30000 | 0 | 30000
14085 | 01-2026 | 265000 | 0 | 265000
14086 | 01-2026 | 20000 | 0 | 20000
14087 | 01-2026 | 750000 | 0 | 750000
14089 | 01-2026 | 455000 | 0 | 455000
14090 | 01-2026 | 315000 | 0 | 315000
14091 | 01-2026 | 350000 | 0 | 350000
14092 | 01-2026 | 280000 | 0 | 280000
14093 | 01-2026 | 910000 | 45500 | 864500
14094 | 01-2026 | 1030000 | 0 | 1030000
14095 | 01-2026 | 1250000 | 0 | 1250000
14096 | 01-2026 | 1100000 | 0 | 1100000
14097 | 01-2026 | 500000 | 0 | 500000
14098 | 01-2026 | 200000 | 0 | 200000
14099 | 01-2026 | 40000 | 0 | 40000
14100 | 01-2026 | 120000 | 0 | 120000
14101 | 01-2026 | 250000 | 0 | 250000
14102 | 01-2026 | 285000 | 0 | 285000
14103 | 01-2026 | 40000 | 0 | 40000
14104 | 01-2026 | 130000 | 0 | 130000
14105 | 01-2026 | 390000 | 0 | 390000
14106 | 01-2026 | 480000 | 0 | 480000
14107 | 01-2026 | 80000 | 0 | 80000
14108 | 01-2026 | 465000 | 0 | 465000
14109 | 01-2026 | 30000 | 0 | 30000
14110 | 01-2026 | 580000 | 0 | 580000
14111 | 01-2026 | 630000 | 0 | 630000
14112 | 01-2026 | 50000 | 0 | 50000
14113 | 01-2026 | 365000 | 0 | 365000
14114 | 01-2026 | 250000 | 0 | 250000
14115 | 01-2026 | 1350000 | 0 | 1350000
14118 | 01-2026 | 930000 | 0 | 930000
14119 | 01-2026 | 460000 | 0 | 460000
14120 | 01-2026 | 40000 | 0 | 40000
14121 | 01-2026 | 1030000 | 0 | 1030000
14123 | 01-2026 | 400000 | 0 | 400000
14124 | 01-2026 | 80000 | 0 | 80000
14125 | 01-2026 | 40000 | 0 | 40000
14126 | 01-2026 | 125000 | 0 | 125000
14127 | 01-2026 | 250000 | 0 | 250000
14128 | 01-2026 | 30000 | 0 | 30000
14129 | 01-2026 | 80000 | 0 | 80000
14130 | 01-2026 | 20000 | 0 | 20000
14131 | 01-2026 | 250000 | 0 | 250000
14132 | 01-2026 | 365000 | 0 | 365000
14133 | 01-2026 | 530000 | 0 | 530000
14134 | 01-2026 | 40000 | 0 | 40000
14135 | 01-2026 | 250000 | 0 | 250000
14136 | 01-2026 | 945000 | 0 | 945000
14137 | 01-2026 | 2620000 | 0 | 2620000
14139 | 01-2026 | 700000 | 0 | 700000
14140 | 01-2026 | 2900000 | 0 | 2900000
14141 | 01-2026 | 750000 | 0 | 750000
14143 | 01-2026 | 250000 | 0 | 250000
14144 | 01-2026 | 1290000 | 0 | 1290000
14145 | 01-2026 | 630000 | 31500 | 598500
14146 | 01-2026 | 20000 | 0 | 20000
14147 | 01-2026 | 40000 | 0 | 40000
